"","code","tenure.id","dob","start_date_aligned","end_date_aligned","month","start","stop","event","cyst","Unit","N.Females","Total.Males","N.Former.Leaders","N.Followers","N.Chaos","N.Leaders","start_as_leader","end_follow_still_leader","tenure_length_aligned","adjusted_end","age_at_start","age_at_month","cyst_date_aligned"
"1","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-05-01,0,1,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.2986301369863,NA
"2","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-06-01,1,2,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.38356164383562,NA
"3","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-07-01,2,3,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.46575342465753,NA
"4","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-08-01,3,4,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.55068493150685,NA
"5","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-09-01,4,5,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.63561643835616,NA
"6","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-10-01,5,6,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.71780821917808,NA
"7","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-11-01,6,7,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.8027397260274,NA
"8","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2009-12-01,7,8,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.88493150684931,NA
"9","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-01-01,8,9,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,8.96986301369863,NA
"10","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-02-01,9,10,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.05479452054795,NA
"11","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-03-01,10,11,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.13150684931507,NA
"12","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-04-01,11,12,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.21643835616438,NA
"13","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-05-01,12,13,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.2986301369863,NA
"14","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-06-01,13,14,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.38356164383562,NA
"15","AVO","AVO-1",2001-01-12,2009-05-01,2013-03-01,2010-07-01,14,15,0,0,"A",4,3,1,1,0,1,0,0,1400,2013-02-01,8.2986301369863,9.46575342465753,NA
